Name,Brand,Price,Image URL,Product URL
'B-Runner' Sneakers,Balmain,550 €,https://cdn-images.farfetch-contents.com/15/49/20/72/15492072_29198331_300.jpg,https://www.farfetch.com/de/shopping/men/balmain-b-runner-sneakers-item-15492072.aspx
'OOO Out of Office' Sneakers,Off-White,390 €,https://cdn-images.farfetch-contents.com/15/28/07/56/15280756_28940014_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280756.aspx
'BOOST 380' Sneakers,adidas YEEZY,370 €,https://cdn-images.farfetch-contents.com/15/64/66/43/15646643_29261668_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-boost-380-sneakers-item-15646643.aspx
'Track.2 Open' Sneakers,Balenciaga,750 €,https://cdn-images.farfetch-contents.com/15/36/79/62/15367962_29209854_300.jpg,https://www.farfetch.com/de/shopping/men/balenciaga-track2-open-sneakers-item-15367962.aspx
Cowboystiefel mit Blockabsatz,Dsquared2,900 €,https://cdn-images.farfetch-contents.com/15/40/59/35/15405935_29254658_300.jpg,https://www.farfetch.com/de/shopping/men/dsquared2-cowboystiefel-mit-blockabsatz-item-15405935.aspx
'Comfort Craftsman' Chelsea-Boots,R.M.Williams,450 €,https://cdn-images.farfetch-contents.com/14/94/73/71/14947371_26342551_300.jpg,https://www.farfetch.com/de/shopping/men/rmwilliams-comfort-craftsman-chelsea-boots-item-14947371.aspx
buckle ankle boots,AMIRI,1.180 €,https://cdn-images.farfetch-contents.com/15/82/27/74/15822774_29171651_300.jpg,https://www.farfetch.com/de/shopping/men/amiri-buckle-ankle-boots-item-15822774.aspx
'Tread' Chelsea-Boots,Alexander McQueen,690 €,https://cdn-images.farfetch-contents.com/15/77/98/55/15779855_29216245_300.jpg,https://www.farfetch.com/de/shopping/men/alexander-mcqueen-tread-chelsea-boots-item-15779855.aspx
Valentino Garavani 'Rockstud' Sneakers,Valentino Garavani,540 €,https://cdn-images.farfetch-contents.com/15/49/66/70/15496670_29235216_300.jpg,https://www.farfetch.com/de/shopping/men/valentino-garavani-valentino-garavani-rockstud-sneakers-item-15496670.aspx
'Phantom' Sneakers,Philipp Plein,1.875 €,https://cdn-images.farfetch-contents.com/15/38/90/69/15389069_29234856_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-phantom-sneakers-item-15389069.aspx
'OOO Out of Office' Sneakers,Off-White,390 €,https://cdn-images.farfetch-contents.com/15/28/07/55/15280755_28433284_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280755.aspx
'Basketball' High-Top-Sneakers,Maison Margiela,790 €,https://cdn-images.farfetch-contents.com/15/48/79/34/15487934_29158376_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-basketball-high-top-sneakers-item-15487934.aspx
'BV Level' Loafer,Bottega Veneta,650 €,https://cdn-images.farfetch-contents.com/15/80/02/71/15800271_29008391_300.jpg,https://www.farfetch.com/de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx
'Comporta' Loafer mit Haken,Edhen Milano,713 €,https://cdn-images.farfetch-contents.com/15/58/88/63/15588863_29191232_300.jpg,https://www.farfetch.com/de/shopping/men/edhen-milano-comporta-loafer-mit-haken-item-15588863.aspx
Loafer mit Tabi-Kappe,Maison Margiela,846 €,https://cdn-images.farfetch-contents.com/15/81/92/61/15819261_29064312_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-loafer-mit-tabi-kappe-item-15819261.aspx
Loafer mit Quasten,Magnanni,460 €,https://cdn-images.farfetch-contents.com/15/58/94/02/15589402_28880524_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-loafer-mit-quasten-item-15589402.aspx
'Air Jordan 1 High OG Bio Hack' Sneakers,Jordan,419 €,https://cdn-images.farfetch-contents.com/15/81/76/59/15817659_29161806_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-high-og-bio-hack-sneakers-item-15817659.aspx
'Air Force 1 GORE-TEX' Sneakers,Nike,288 €,https://cdn-images.farfetch-contents.com/15/82/03/82/15820382_29033120_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-force-1-gore-tex-sneakers-item-15820382.aspx
'OOO Out of Office' Sneakers,Off-White,390 €,https://cdn-images.farfetch-contents.com/15/28/07/58/15280758_28932371_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280758.aspx
'Rython' Sneakers ,Gucci,790 €,https://cdn-images.farfetch-contents.com/15/84/84/25/15848425_29052497_300.jpg,https://www.farfetch.com/de/shopping/men/gucci-rython-sneakers-item-15848425.aspx
'Air Jordan 1 Mid' Sneakers,Jordan,260 €,https://cdn-images.farfetch-contents.com/15/84/84/31/15848431_29216384_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-mid-sneakers-item-15848431.aspx
'Yeezy Boost 350 V2' Sneakers,adidas YEEZY,623 €,https://cdn-images.farfetch-contents.com/15/47/78/06/15477806_27920430_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-yeezy-boost-350-v2-sneakers-item-15477806.aspx
'Oversized' Sneakers,Alexander McQueen,450 €,https://cdn-images.farfetch-contents.com/15/63/23/65/15632365_28356149_300.jpg,https://www.farfetch.com/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15632365.aspx
'C-Run 3000' Sneakers,Marcelo Burlon County of Milan,335 €,https://cdn-images.farfetch-contents.com/15/61/50/58/15615058_29050550_300.jpg,https://www.farfetch.com/de/shopping/men/marcelo-burlon-county-of-milan-c-run-3000-sneakers-item-15615058.aspx
metal appliqué Oxford shoes,Neil Barrett,394 €,https://cdn-images.farfetch-contents.com/15/83/72/69/15837269_29162787_300.jpg,https://www.farfetch.com/de/shopping/men/neil-barrett-metal-applique-oxford-shoes-item-15837269.aspx
Oxford-Schuhe mit Kroko-Effekt,Magnanni,485 €,https://cdn-images.farfetch-contents.com/15/58/88/71/15588871_28854326_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-oxford-schuhe-mit-kroko-effekt-item-15588871.aspx
lace-up shoes,Henderson Baracco,390 €,https://cdn-images.farfetch-contents.com/15/84/20/95/15842095_29271808_300.jpg,https://www.farfetch.com/de/shopping/men/henderson-baracco-lace-up-shoes-item-15842095.aspx
High-Top-Sneakers mit Einsätzen,Maison Margiela,730 €,https://cdn-images.farfetch-contents.com/15/78/80/12/15788012_28980457_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-high-top-sneakers-mit-einsatzen-item-15788012.aspx
'Yeezy Boost 700 MNVN' Sneakers,adidas YEEZY,805 €,https://cdn-images.farfetch-contents.com/15/46/44/58/15464458_28660834_300.jpg,https://www.farfetch.com/de/shopping/men/adidas-yeezy-yeezy-boost-700-mnvn-sneakers-item-15464458.aspx
'Air Jordan 1 Mid Oakland' Sneakers,Jordan,267 €,https://cdn-images.farfetch-contents.com/15/84/06/39/15840639_29218665_300.jpg,https://www.farfetch.com/de/shopping/men/jordan-air-jordan-1-mid-oakland-sneakers-item-15840639.aspx
High-Top-Sneakers mit Lederbesatz,AMI,270 €,https://cdn-images.farfetch-contents.com/15/13/40/94/15134094_26435869_300.jpg,https://www.farfetch.com/de/shopping/men/ami-high-top-sneakers-mit-lederbesatz-item-15134094.aspx
Loafer mit Quasten,Magnanni,461 €,https://cdn-images.farfetch-contents.com/15/58/73/04/15587304_28853241_300.jpg,https://www.farfetch.com/de/shopping/men/magnanni-loafer-mit-quasten-item-15587304.aspx
'Bruno' Loafer mit runder Kappe,Malone Souliers,443 €,https://cdn-images.farfetch-contents.com/15/82/98/17/15829817_29086984_300.jpg,https://www.farfetch.com/de/shopping/men/malone-souliers-bruno-loafer-mit-runder-kappe-item-15829817.aspx
Loafer mit transparentem Absatz,Giuseppe Zanotti,790 €,https://cdn-images.farfetch-contents.com/15/80/73/72/15807372_29010740_300.jpg,https://www.farfetch.com/de/shopping/men/giuseppe-zanotti-loafer-mit-transparentem-absatz-item-15807372.aspx
Stiefel mit Plateausohle,Rick Owens DRKSHDW,585 €,https://cdn-images.farfetch-contents.com/14/97/66/30/14976630_25058455_300.jpg,https://www.farfetch.com/de/shopping/men/rick-owens-drkshdw-stiefel-mit-plateausohle-item-14976630.aspx
Chelsea-Boots mit Schnalle,1017 ALYX 9SM,774 €,https://cdn-images.farfetch-contents.com/15/80/70/62/15807062_29006285_300.jpg,https://www.farfetch.com/de/shopping/men/1017-alyx-9sm-chelsea-boots-mit-schnalle-item-15807062.aspx
'Comfort Turnout' Chelsea-Boots,R.M.Williams,450 €,https://cdn-images.farfetch-contents.com/15/15/02/61/15150261_26342743_300.jpg,https://www.farfetch.com/de/shopping/men/rmwilliams-comfort-turnout-chelsea-boots-item-15150261.aspx
High-Top-Sneakers,Givenchy,850 €,https://cdn-images.farfetch-contents.com/15/80/06/15/15800615_28992877_300.jpg,https://www.farfetch.com/de/shopping/men/givenchy-high-top-sneakers-item-15800615.aspx
'Trail' Sneakers,Acne Studios,360 €,https://cdn-images.farfetch-contents.com/15/50/18/83/15501883_29108183_300.jpg,https://www.farfetch.com/de/shopping/men/acne-studios-trail-sneakers-item-15501883.aspx
Bemalte 'Tabi' High-Top-Sneakers,Maison Margiela,490 €,https://cdn-images.farfetch-contents.com/15/80/74/92/15807492_29015478_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-bemalte-tabi-high-top-sneakers-item-15807492.aspx
Flache Sneakers,Comme Des Garçons Homme Plus,628 €,https://cdn-images.farfetch-contents.com/15/78/31/62/15783162_29055142_300.jpg,https://www.farfetch.com/de/shopping/men/comme-des-garcons-homme-plus-flache-sneakers-item-15783162.aspx
'Ranger' Bikerstiefel,Maison Margiela,1.390 €,https://cdn-images.farfetch-contents.com/15/77/62/15/15776215_29005855_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-ranger-bikerstiefel-item-15776215.aspx
Knöchelhohe Schnürstiefel,Versace,890 €,https://cdn-images.farfetch-contents.com/15/80/73/58/15807358_29010732_300.jpg,https://www.farfetch.com/de/shopping/men/versace-knochelhohe-schnurstiefel-item-15807358.aspx
