Name,Brand,Price,Image URL,Product URL
Burton Mission 2021 Snowboardbindung,Burton,"€ 199,95",https://images.blue-tomato.com/is/image/bluetomato/304342227_front.jpg-5pgiYlVj8ano7J53QTvUv_-50Q4/Burton+Mission+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Mission+2021+Snowboardbindung-622740/
Union Falcor 2021 Snowboardbindung,Union,"€ 339,95",https://images.blue-tomato.com/is/image/bluetomato/304300395_front.jpg-cJmxzKJKoATdUApRzsxAjImB4gw/Union+Falcor+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/?colid=arctic+white
DEELUXE ID Dual Boa PF 2021 Snowboardboots,DEELUXE,"€ 349,95",https://images.blue-tomato.com/is/image/bluetomato/304272068_front.jpg-LTY8bKtJGOwAHM31cv3YJGsn_Qc/DEELUXE+ID+Dual+Boa+PF+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/DEELUXE-ID+Dual+Boa+PF+2021+Snowboardboots-615580/
Burton Photon Step On 2021,Burton,"€ 409,95",https://images.blue-tomato.com/is/image/bluetomato/303922473_front.jpg-IZiFmPwXprvFllSXv6shBLfqfJw/Burton+Photon+Step+On+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Photon+Step+On+2021-567091/
Burton Ruler Boa 2021 Snowboardboots,Burton,"€ 319,95",https://images.blue-tomato.com/is/image/bluetomato/304342638_front.jpg-Kewc83ygrFp6LhPYl1E-m6BJ-Hw/Burton+Ruler+Boa+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Ruler+Boa+2021+Snowboardboots-622769/?colid=blue
Vans Hi-Standard OG 2021 Snowboardboots,Vans,"€ 229,95",https://images.blue-tomato.com/is/image/bluetomato/304070656_front.jpg-6gyIZZAAOoh7n_NvG46q7Y2lLCY/Vans+Hi+Standard+OG+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587519/
Salomon Faction Boa Snowboard-Boots 2021,Salomon,"€ 229,95",https://images.blue-tomato.com/is/image/bluetomato/304378363_front.jpg-BQaeErD93FCVSZiv7eH33xW_3No/Salomon+Faction+Boa+Snowboard+Boots+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Salomon-Faction+Boa+Snowboard+Boots+2021-630673/
Ride Hera 2021 Snowboardboots,Ride,"€ 289,95",https://images.blue-tomato.com/is/image/bluetomato/304358716_front.jpg-WQfH8RmsJ6CppXXGVGTDkZFGkz8/Ride+Hera+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Hera+2021+Snowboardboots-624731/
Burton Step On 2020 Snowboardbindung,Burton,"€ 279,95",https://images.blue-tomato.com/is/image/bluetomato/304345836_front.jpg-MZ1fqNRSboteE_ehQdk0FQn06kQ/Burton+Step+On+2020+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Step+On+2020+Snowboardbindung-623028/?colid=black
Burton Felix Boa Snowboard-Boots,Burton,"€ 339,95",https://images.blue-tomato.com/is/image/bluetomato/303517271_front.jpg-ZulEPYfaNIBYaPEiXm6X9K6xea8/Burton+Felix+Boa+Snowboard+Boots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Felix+Boa+Snowboard+Boots-522751/
Capita Defenders Of Awesome 161W 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300182_front.jpg-cHctpw0w8Iz5eVDEefq4kJW37tE/Capita+Defenders+Of+Awesome+161W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+161W+2021+Snowboard-618463/
Burton Photon BOA Snowboard-Boots,Burton,"€ 359,95",https://images.blue-tomato.com/is/image/bluetomato/303921586_front.jpg-vfARR5TsYsbsfqCW-kBSolQ0Ny0/Burton+Photon+BOA+Snowboard+Boots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Photon+BOA+Snowboard+Boots-567043/
Burton Limelight 2020 Snowboardboots,Burton,"€ 219,95",https://images.blue-tomato.com/is/image/bluetomato/303920013_front.jpg-2WJVOocZjyJm_Qx6Ebn8nq7JTPw/Burton+Limelight+2020+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Limelight+2020+Snowboardboots-566982/
DEELUXE Team ID LTD. PF 2021 Snowboardboots,DEELUXE,"€ 289,95",https://images.blue-tomato.com/is/image/bluetomato/304272300_front.jpg-1WSjbOaV1ZURr7MskOtbsCaLVjo/DEELUXE+Team+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/DEELUXE-Team+ID+LTD+PF+2021+Snowboardboots-615588/
Nitro Team TLS 2021 Snowboardboots,Nitro,"€ 399,95",https://images.blue-tomato.com/is/image/bluetomato/304320841_front.jpg-L4Usk0TjBvohd4mXl-1aVsk8fWs/Nitro+Team+TLS+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nitro-Team+TLS+2021+Snowboardboots-620651/
Capita Defenders Of Awesome 154 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300175_front.jpg-tL3iwjD8s4Y6NriChhCzEtXdM3o/Capita+Defenders+Of+Awesome+154+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+154+2021+Snowboard-618456/
Burton Ion Boa 2021 Snowboardboots,Burton,"€ 449,95",https://images.blue-tomato.com/is/image/bluetomato/304342561_front.jpg-tqT28LhxT51vtVFmU8U8k6epe0Q/Burton+Ion+Boa+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Ion+Boa+2021+Snowboardboots-622767/
Capita Mercury 159 2021 Snowboard,Capita,"€ 569,95",https://images.blue-tomato.com/is/image/bluetomato/304300169_front.jpg-KEdpT4mzFzpeVXXkwHsMcN8sFjE/Capita+Mercury+159+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Mercury+159+2021+Snowboard-618450/
Smith Holt 2 Helm,Smith,"€ 59,95",https://images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Smith-Holt+2+Helm-369334/
Union Force 2021 Snowboardbindung,Union,"€ 249,95",https://images.blue-tomato.com/is/image/bluetomato/304300377_front.jpg-qhApz8xT1f2ZaV1NwjXl_x3g0P0/Union+Force+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Force+2021+Snowboardbindung-618606/
POC Auric Cut Helm,POC,"€ 169,95",https://images.blue-tomato.com/is/image/bluetomato/302706114_front.jpg-hitTfcJTbtXHobE0YQZk8vTS6Ug/POC+Auric+Cut+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/POC-Auric+Cut+Helm-416602/
Oakley Flight Deck XL Heathered Black Grey Goggle,Oakley,"€ 209,95",https://images.blue-tomato.com/is/image/bluetomato/304356149_front.jpg-VxLFdDEfhD__9DzcJPEaTH-7xHo/Oakley+Flight+Deck+XL+Heathered+Black+Grey+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Oakley-Flight+Deck+XL+Heathered+Black+Grey+Goggle-624065/
Capita Defenders Of Awesome 158 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300177_front.jpg-iyv8ZBIzWLbGS7x8RPXgRDlopoo/Capita+Defenders+Of+Awesome+158+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+158+2021+Snowboard-618458/
DEELUXE Deemon PF 2021 Snowboardboots,DEELUXE,"€ 309,95",https://images.blue-tomato.com/is/image/bluetomato/304271935_front.jpg-XRbmfq337eMqOzAS1Sjm0u_7_qw/DEELUXE+Deemon+PF+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/DEELUXE-Deemon+PF+2021+Snowboardboots-615572/
Nitro Team TLS 2020 Snowboardboots,Nitro,"€ 319,95",https://images.blue-tomato.com/is/image/bluetomato/304002260_front.jpg-rsiszqZrseA_NmKU8DP4nozqq0k/Nitro+Team+TLS+2020+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Nitro-Team+TLS+2020+Snowboardboots-576272/
Union Force 2021 Snowboardbindung,Union,"€ 249,95",https://images.blue-tomato.com/is/image/bluetomato/304300382_front.jpg-e4C1hjTgA4SZK3pVo_jgTQsSUho/Union+Force+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Force+2021+Snowboardbindung-618606/?colid=white
Jones Snowboards Apollo Snowboard-Bindung 2021,Jones Snowboards,"€ 499,95",https://images.blue-tomato.com/is/image/bluetomato/304375216_front.jpg-KOS6BhXMRchKBmopR9VCloAhNV4/Jones+Snowboards+Apollo+Snowboard+Bindung+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/
DC Phase 2021 Snowboardboots,DC,"€ 159,95",https://images.blue-tomato.com/is/image/bluetomato/304264956_front.jpg-aldVurR7AY_DADJDFH8TyM-gpug/DC+Phase+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/DC-Phase+2021+Snowboardboots-614781/
Anon Raider 3 Helm,Anon,"€ 79,95",https://images.blue-tomato.com/is/image/bluetomato/303924730_front.jpg-qAirhTxj79KqE6lzER0HGcg-knw/Anon+Raider+3+Helm.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Anon-Raider+3+Helm-567238/
Gnu Ladies Choice 148.5 2021 Snowboard,Gnu,"€ 569,95",https://images.blue-tomato.com/is/image/bluetomato/304372849_front.jpg-C71h3YbKJa0Qi4MCaYx4lkyu4tc/Gnu+Ladies+Choice+148+5+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Gnu-Ladies+Choice+148+5+2021+Snowboard-628692/
Burton Cartel X 2021 Snowboardbindung,Burton,"€ 299,95",https://images.blue-tomato.com/is/image/bluetomato/304342268_front.jpg-jII2vP9tiVniI6miovxROVf0oH8/Burton+Cartel+X+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Cartel+X+2021+Snowboardbindung-622750/
Union Scott Stevens 2021 Snowboardbindung,Union,"€ 219,95",https://images.blue-tomato.com/is/image/bluetomato/304300407_front.jpg-T8mS4eRPPGj0u7k_abuRbcGWU9s/Union+Scott+Stevens+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Scott+Stevens+2021+Snowboardbindung-618610/
Capita Defenders Of Awesome 155W 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300184_front.jpg-fsbk-rVjZAIWFvSGyPflFcZS1CU/Capita+Defenders+Of+Awesome+155W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+155W+2021+Snowboard-618465/
Vans Standard MTE 2021 Snowboardboots,Vans,"€ 179,95",https://images.blue-tomato.com/is/image/bluetomato/304372087_front.jpg-dhahmI8iJ9pFhesuFZNeqUCWEsU/Vans+Standard+MTE+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Vans-Standard+MTE+2021+Snowboardboots-628311/
Lib Tech Travis Rice Orca 159 2021 Snowboard,Lib Tech,"€ 649,95",https://images.blue-tomato.com/is/image/bluetomato/304372981_front.jpg-96m4Hg2nNjZVUatTkBRt-s2jSJM/Lib+Tech+Travis+Rice+Orca+159+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+159+2021+Snowboard-628804/
Ride Lasso Pro 2021 Snowboardboots,Ride,"€ 349,95",https://images.blue-tomato.com/is/image/bluetomato/304358382_front.jpg-yF5RJxU2KQoQFUSFD89tiP9Sm10/Ride+Lasso+Pro+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Lasso+Pro+2021+Snowboardboots-624686/
Capita Defenders Of Awesome 156 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300180_front.jpg-fvDU9sh28u-ADjreCh0WzdcRpJE/Capita+Defenders+Of+Awesome+156+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+156+2021+Snowboard-618461/
Burton Talent Scout 149 2021 Snowboard,Burton,"€ 499,95",https://images.blue-tomato.com/is/image/bluetomato/304345745_front.jpg-T3nLEZXZ7eJukZ96jqEpbRD9Hzo/Burton+Talent+Scout+149+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Talent+Scout+149+2021+Snowboard-622999/
Lib Tech Stump Ape 163W 2021 Snowboard,Lib Tech,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304373002_front.jpg-3oN1cmc5GO1VnCBNdXIgRPor_7c/Lib+Tech+Stump+Ape+163W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Stump+Ape+163W+2021+Snowboard-628825/
Union Contact Pro 2021 Snowboardbindung,Union,"€ 219,95",https://images.blue-tomato.com/is/image/bluetomato/304300409_front.jpg-7b7pJqoPtpD2cuDOC3LWLN0h4x0/Union+Contact+Pro+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Contact+Pro+2021+Snowboardbindung-618611/
Lib Tech Travis Rice Orca 150 2021 Snowboard,Lib Tech,"€ 649,95",https://images.blue-tomato.com/is/image/bluetomato/304372978_front.jpg-gwnq3_6XCZsEsDrNsStdhPGn29g/Lib+Tech+Travis+Rice+Orca+150+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+150+2021+Snowboard-628801/
Dragon NFX2 Comp (+Bonus Lens) Goggle,Dragon,"€ 199,95",https://images.blue-tomato.com/is/image/bluetomato/304370132_front.jpg-7oRUZoMU9o_xLry16oJndMdndb4/Dragon+NFX2+Comp+Bonus+Lens+Goggle.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Dragon-NFX2+Comp+Bonus+Lens+Goggle-627732/
Lib Tech Travis Rice Pro Pointy 1645W 2021 Snowboard,Lib Tech,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372935_front.jpg-fDr1hbfD3c5IzaVOQ-aFyh_4V9M/Lib+Tech+Travis+Rice+Pro+Pointy+1645W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Pro+Pointy+1645W+2021+Snowboard-628758/
Jones Snowboards Mercury Snowboard-Bindung 2021,Jones Snowboards,"€ 349,95",https://images.blue-tomato.com/is/image/bluetomato/304375217_front.jpg-KkJxFF86rGv82okOM0mS8diSKi8/Jones+Snowboards+Mercury+Snowboard+Bindung+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Mercury+Snowboard+Bindung+2021-629275/
Lib Tech Terrain Wrecker 157 2021 Snowboard,Lib Tech,"€ 529,95",https://images.blue-tomato.com/is/image/bluetomato/304372959_front.jpg-uTFIyu2TauucPxsTviyHG0q6_YM/Lib+Tech+Terrain+Wrecker+157+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Terrain+Wrecker+157+2021+Snowboard-628782/
Capita Defenders Of Awesome 160 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300181_front.jpg-BbyHCyHhNW2THJyNK5GpFhbHx3Y/Capita+Defenders+Of+Awesome+160+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+160+2021+Snowboard-618462/
Burton Felix Step On 2021,Burton,"€ 389,95",https://images.blue-tomato.com/is/image/bluetomato/303922493_front.jpg-rWkL2xik772WtxXeIenLS97kklo/Burton+Felix+Step+On+2021.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Felix+Step+On+2021-567092/
Capita Defenders Of Awesome 159W 2021 Snowboard,Capita,"€ 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300186_front.jpg-BOrzYusiG0Plm0bOOh1K_SocS7I/Capita+Defenders+Of+Awesome+159W+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+159W+2021+Snowboard-618467/
Lib Tech JL Short Wide 150 2021 Snowboard,Lib Tech,"€ 599,95",https://images.blue-tomato.com/is/image/bluetomato/304372999_front.jpg-0sN4v7WrKui65BKipWXKqaxO4LY/Lib+Tech+JL+Short+Wide+150+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-JL+Short+Wide+150+2021+Snowboard-628822/
